"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"12043",5231.201,15,2,841,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,10,FALSE,TRUE,TRUE,TRUE,FALSE,2010,0.036947674302,NA,NA,0.0343070574,NA,NA,0,NA,NA,21.5,9.93,0.108333333333333,0.00035480445,-0.1225,"ALIVE","c",10.196,0.036305115,5231,FALSE,2,NA,NA,2,NA,NA,1,NA,NA,1,1,"(0.0305,0.061]",NA,NA,"(0.0305,0.061]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.15]","[0,0.000511]"
"12044",5233.201,15,2,878,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,8,FALSE,TRUE,TRUE,TRUE,FALSE,2010,0.0022061886,NA,NA,0.0022061886,NA,NA,0,NA,NA,15.6,10.5,0.0833333333333333,0.000197659,-0.0166666666666666,"ALIVE","i",10.196,0.0191134944,5233,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.15]","[0,0.000511]"
"12045",5234.201,15,2,880,"ABBA",NA,1180,"H","E",200,"H","BSLP",3,6,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.0160873482,0.07308465087,0.426966782088,0.0160873482,0.0690107418,0.4118653308,0,0,0.2202253746,13.5,9.01,0.0916666666666666,0.00018646705,0.0758333333333333,"ALIVE","c",10.196,0.014313915,5234,FALSE,1,1,3,1,1,3,1,1,2,1,1,"[0,0.0305]","[0,0.0854]","(0.373,0.559]","[0,0.0305]","[0,0.0837]","(0.356,0.533]","[0,0.0305]","[0,0.0854]","(0.168,0.337]","[0,0.15]","[0,0.000511]"
"12046",5236.201,15,2,890,"ABBA",NA,1180,"H","E",200,"H","BSLP",5,10,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.006850368756,NA,NA,0,NA,NA,0,NA,NA,20.9,11.57,0.175,0.000545656649999999,0.1225,"ALIVE","c",10.196,0.0343070574,5236,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,2,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"(0.15,0.3]","(0.000511,0.00102]"
"12047",5237.201,15,2,892,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,6,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0,NA,NA,0,NA,NA,0,NA,NA,19,7.85,0.383333333333333,0.0010055738,0.120833333333333,"ALIVE","i",10.196,0.02835294,5237,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,3,2,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"(0.3,0.45]","(0.000511,0.00102]"
"12049",5240.201,15,2,997,"ABBA",NA,1180,"H","E",200,"H","BSLP",4,8,FALSE,NA,NA,TRUE,TRUE,2010,0.0178702062,0.17527983858,0.472561569018,0.0160606446,0.1652355936,0.4437407898,0.0178702062,0.174672716526,0.468782656188,3.14,3.67,0.0116666666666667,5.626082e-06,0.0641666666666667,"ALIVE","o",10.196,0.000774372984,5240,FALSE,1,3,3,1,2,3,1,3,3,1,1,"[0,0.0305]","(0.171,0.256]","(0.373,0.559]","[0,0.0305]","(0.0837,0.167]","(0.356,0.533]","[0,0.0305]","(0.171,0.256]","(0.337,0.505]","[0,0.15]","[0,0.000511]"
"12050",5241.201,15,2,998,"ABBA",NA,1180,"H","E",200,"H","BSLP",3,9,FALSE,NA,NA,TRUE,TRUE,2010,0.0752350368,0.20373778656,NA,0.0752224704,0.1976521932,NA,0.0752224704,0.1951891788,NA,6,5.73,0.0583333333333333,5.17709500000001e-05,0.0275,"ALIVE","o",10.196,0.00282744,5241,FALSE,3,3,NA,3,3,NA,3,3,NA,1,1,"(0.061,0.0915]","(0.171,0.256]",NA,"(0.061,0.0915]","(0.167,0.251]",NA,"(0.061,0.0915]","(0.171,0.256]",NA,"[0,0.15]","[0,0.000511]"
"12051",5249.201,15,2,98120,"ABBA",NA,1180,"H","E",200,"H","BSLP",2,9,FALSE,NA,NA,FALSE,TRUE,2010,0.021908544504,0.256290604878,NA,0.0219040206,0.2511662076,NA,0.021908544504,0.256290604878,NA,0,1.31,0,0,0.0175,"ALIVE","",10.196,0,5249,FALSE,1,3,NA,1,3,NA,1,3,NA,1,1,"[0,0.0305]","(0.171,0.256]",NA,"[0,0.0305]","(0.167,0.251]",NA,"[0,0.0305]","(0.171,0.256]",NA,"[0,0.15]","[0,0.000511]"
"12052",5250.201,15,2,98125,"ABBA",NA,1180,"H","E",200,"H","BSLP",2,9,FALSE,NA,NA,TRUE,TRUE,2010,0.0219040206,0.256286080974,NA,0.0219040206,0.2511662076,NA,0.0219040206,0.256286080974,NA,0.24,1.4,0.02,3.76992e-07,0.0166666666666667,"ALIVE","",10.196,4.523904e-06,5250,FALSE,1,3,NA,1,3,NA,1,3,NA,1,1,"[0,0.0305]","(0.171,0.256]",NA,"[0,0.0305]","(0.167,0.251]",NA,"[0,0.0305]","(0.171,0.256]",NA,"[0,0.15]","[0,0.000511]"
"12053",5251.201,15,2,992546,"ABBA",NA,1180,"H","E",200,"H","BSLP",2,10,FALSE,NA,NA,NA,NA,2010,0.022942853472,NA,NA,0.021382515,NA,NA,0.022942853472,NA,NA,0,1.1,NA,NA,NA,"ALIVE","",10.196,0,5251,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,"[0,0.0305]",NA,NA,NA,NA
"12054",5252.201,15,2,992547,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,10,FALSE,NA,NA,NA,NA,2010,0.073252789302,NA,NA,0.0706121724,NA,NA,0.073252789302,NA,NA,0,1.08,NA,NA,NA,"ALIVE","",10.196,0,5252,FALSE,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,NA,NA
"12055",5253.201,15,2,992548,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,10,FALSE,NA,NA,NA,NA,2010,0.073252789302,NA,NA,0.0706121724,NA,NA,0.073252789302,NA,NA,0,1.25,NA,NA,NA,"ALIVE","",10.196,0,5253,FALSE,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,NA,NA
"12056",5254.201,15,2,992549,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,10,FALSE,NA,NA,NA,NA,2010,0.073059196056,NA,NA,0.0706121724,NA,NA,0.073020711456,NA,NA,1.57,1.8,NA,NA,NA,"ALIVE","",10.196,0.000193593246,5254,FALSE,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,NA,NA
"12057",5255.201,15,2,992708,"ABBA",NA,1180,"H","E",200,"H","BSLP",5,10,FALSE,NA,NA,NA,NA,2010,0.039771980556,NA,NA,0.0343070574,NA,NA,0.035692503,NA,NA,4.2,2.8,NA,NA,NA,"ALIVE","o",10.196,0.0013854456,5255,FALSE,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,"(0.0305,0.061]",NA,NA,"(0.0305,0.061]",NA,NA,"(0.0305,0.061]",NA,NA,NA,NA
"12058",5256.201,15,2,992949,"ABBA",NA,1180,"H","E",200,"H","BSLP",1,7,FALSE,NA,NA,NA,NA,2010,0.066387199494,NA,NA,0.0655879686,NA,NA,0.066387199494,NA,NA,1.8,2.35,NA,NA,NA,"ALIVE","",10.196,0.0002544696,5256,FALSE,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,"(0.061,0.0915]",NA,NA,NA,NA
