"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"9784",2050.201,11,1,2,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,4,FALSE,NA,NA,TRUE,TRUE,2010,0.009102786,0.159823512156,NA,0.008395926,0.1282927338,NA,0.008395926,0.1430558976,NA,4.3,5.74,0.141666666666667,7.677285e-05,0.228333333333333,"ALIVE","i",9.305,0.0014522046,2050,FALSE,1,3,NA,1,2,NA,1,2,NA,1,1,"[0,0.0182]","(0.155,0.232]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","(0.0761,0.152]",NA,"[0,0.147]","[0,0.000309]"
"9787",2065.201,11,1,125,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,4,FALSE,NA,NA,TRUE,TRUE,2010,0.011879175,0.1896772416,0.416691236808,0.0074047512,0.1670208078,0.354521706,0.0110238744,0.170639931,0.37069957155,4.6,4.85,0.125,7.559475e-05,0.154166666666667,"ALIVE","o",9.305,0.0016619064,2065,FALSE,1,3,3,1,3,3,1,3,3,1,1,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.152,0.228]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9788",2067.201,11,1,127,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0117315198,0.1895295864,0.416543581608,0.0074047512,0.1670208078,0.354521706,0.0092143128,0.1688303694,0.3637218816,4.8,4.7,0.0916666666666666,6.119575e-05,0.125,"ALIVE","o",9.305,0.0018095616,2067,FALSE,1,3,3,1,3,3,1,3,3,1,1,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.152,0.228]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9789",2072.201,11,1,133,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,4,FALSE,NA,NA,TRUE,TRUE,2010,0.010151295,0.2007647334,0.408013163712,0.0075429816,0.1710106398,0.3397004226,0.0075429816,0.1666807296,0.3204887532,5.6,5.64,0.191666666666667,0.00013397615,0.228333333333333,"ALIVE","i",9.305,0.0024630144,2072,FALSE,1,3,3,1,3,3,1,3,2,2,1,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.152,0.228]","(0.162,0.324]","(0.147,0.294]","[0,0.000309]"
"9790",2077.201,11,1,139,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0050713278,0.1956847662,0.402933196512,0.0024630144,0.1659306726,0.3346204554,0,0.0966599634,0.1366698102,9.8,8.87,0.408333333333333,0.00047143635,0.389166666666667,"ALIVE","c",9.305,0.0075429816,2077,FALSE,1,3,3,1,3,3,1,2,1,3,2,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","[0,0.162]","(0.294,0.442]","(0.000309,0.000619]"
"9792",2080.201,11,1,142,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,5,FALSE,NA,NA,TRUE,TRUE,2010,0.011796708,0.147569096598,NA,0.011160534,0.1184964396,NA,0.011160534,0.1093213968,NA,5.8,5,0.25,0.000168861,0.216666666666667,"ALIVE","i",9.305,0.0026420856,2080,FALSE,1,2,NA,1,2,NA,1,2,NA,2,1,"[0,0.0182]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","(0.0761,0.152]",NA,"(0.147,0.294]","[0,0.000309]"
"9794",2086.201,11,1,150,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,3,FALSE,NA,NA,TRUE,TRUE,2010,0.01928157,0.125867991942,NA,0.0114990414,0.1028096454,NA,0.0183736476,0.120056785926,NA,3.5,3.9,0.0833333333333333,3.927e-05,0.108333333333333,"ALIVE","o",9.305,0.000962115,2086,FALSE,2,2,NA,1,2,NA,2,2,NA,1,1,"(0.0182,0.0365]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"(0.0182,0.0365]","(0.0761,0.152]",NA,"[0,0.147]","[0,0.000309]"
"9795",2087.201,11,1,152,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0193357626,0.125922184542,NA,0.0114990414,0.1028096454,NA,0.0193357626,0.121018900926,NA,3.4,3.68,0.075,3.475395e-05,0.106666666666667,"ALIVE","o",9.305,0.0009079224,2087,FALSE,2,2,NA,1,2,NA,2,2,NA,1,1,"(0.0182,0.0365]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"(0.0182,0.0365]","(0.0761,0.152]",NA,"[0,0.147]","[0,0.000309]"
"9796",2088.201,11,1,154,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0185087364,0.125095158342,NA,0.0114990414,0.1028096454,NA,0.0151181646,0.1081637172,NA,4.7,4.41,0.075,5.006925e-05,0.150833333333333,"ALIVE","o",9.305,0.0017349486,2088,FALSE,2,2,NA,1,2,NA,1,2,NA,1,1,"(0.0182,0.0365]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","(0.0761,0.152]",NA,"[0,0.147]","[0,0.000309]"
"9798",2092.201,11,1,159,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,3,FALSE,NA,NA,TRUE,TRUE,2010,0.011097702,0.11423643,0.441001848672,0.0080652726,0.0915556488,0.3845334108,0.0106453116,0.1113139566,0.426289971492,3.5,3.7,0.0583333333333333,2.886345e-05,0.0916666666666667,"ALIVE","i",9.305,0.000962115,2092,FALSE,1,2,3,1,2,3,1,2,3,1,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9799",2099.201,11,1,189,"ABBA",NA,1025,"M","E",100,"H","BSLP",5,3,FALSE,NA,NA,TRUE,TRUE,2010,0.007638015,0.148630187706,0.533057585214,0.007638015,0.132304557,0.485200485,0.005674515,0.12421101,0.472610523,5.5,6.07,0.15,0.0001083852,0.205833333333333,"ALIVE","o",9.305,0.002375835,2099,FALSE,1,2,3,1,2,3,1,2,3,2,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","(0.147,0.294]","[0,0.000309]"
"9800",2100.201,11,1,190,"ABBA",NA,1025,"M","E",100,"H","BSLP",5,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0106924356,0.14470201746,0.49069062735,0.0106924356,0.1243107558,0.4339798386,0.0106924356,0.1373444688,0.468993944496,3.8,3.97,0.075,3.946635e-05,0.105833333333333,"ALIVE","",9.305,0.0011341176,2100,FALSE,1,2,3,1,2,3,1,2,3,1,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9801",2101.201,11,1,191,"ABBA",NA,1025,"M","E",100,"H","BSLP",5,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0085082382,0.14251782006,0.48850642995,0.0073741206,0.1209924408,0.4306615236,0.0054106206,0.099164604,0.3747206232,6.5,5.87,0.15,0.0001319472,0.205833333333333,"ALIVE","o",9.305,0.003318315,2101,FALSE,1,2,3,1,2,3,1,2,3,2,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","(0.147,0.294]","[0,0.000309]"
"9802",2103.201,11,1,194,"ABBA",NA,1025,"M","E",100,"H","BSLP",5,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0064159326,0.14042551446,0.48641412435,0.005281815,0.1189001352,0.428569218,0,0.0766244094,0.3294745146,8.3,5.83,0.258333333333333,0.00027390825,0.2025,"ALIVE","o",9.305,0.0054106206,2103,FALSE,1,2,3,1,2,3,1,2,3,2,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","(0.147,0.294]","[0,0.000309]"
"9803",2109.201,11,1,302,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,5,FALSE,NA,NA,TRUE,TRUE,2010,0.0079348962,0.143707284798,NA,0.0072987222,0.1146346278,NA,0,0.044186604,NA,9.1,6.66,0.375,0.00040349925,0.305,"ALIVE","i",9.305,0.0065038974,2109,FALSE,1,2,NA,1,2,NA,1,1,NA,3,2,"[0,0.0182]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","[0,0.0761]",NA,"(0.294,0.442]","(0.000309,0.000619]"
"9805",2117.201,11,1,329,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,5,FALSE,NA,NA,TRUE,TRUE,2010,0.009782157,0.145554545598,NA,0.009145983,0.1164818886,NA,0.0065038974,0.0671037906,NA,7.7,5.73,0.225,0.00022442805,0.185833333333333,"ALIVE","i",9.305,0.0046566366,2117,FALSE,1,2,NA,1,2,NA,1,1,NA,2,1,"[0,0.0182]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","[0,0.0761]",NA,"(0.147,0.294]","[0,0.000309]"
"9806",2121.201,11,1,334,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,5,FALSE,NA,NA,TRUE,TRUE,2010,0.0107576238,NA,NA,0.0068989536,NA,NA,0.0107576238,NA,NA,3.21,3.75,0.0758333333333333,3.28172845e-05,0.0875,"ALIVE","i",9.305,0.000809284014,2121,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9807",2127.201,11,1,340,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,TRUE,TRUE,2010,0.011474450526,NA,NA,0.0085875636,NA,NA,0.009622477326,NA,NA,3.3,3.82,0.0916666666666666,3.959725e-05,0.11,"ALIVE","o",9.305,0.0008553006,2127,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9808",2129.201,11,1,342,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,5,FALSE,NA,NA,TRUE,TRUE,2010,0.010246650414,NA,NA,0.0068989536,NA,NA,0.008419488,NA,NA,4.1,4.4,0.125,6.577725e-05,0.141666666666667,"ALIVE","i",9.305,0.0013202574,2129,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9809",2131.201,11,1,344,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,TRUE,TRUE,2010,0.008804090526,NA,NA,0.005061903,NA,NA,0,NA,NA,6.7,6.21,0.241666666666667,0.00019929525,0.2425,"ALIVE","o",9.305,0.0035256606,2131,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"(0.147,0.294]","[0,0.000309]"
"9810",2136.201,11,1,350,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0184341234,0.125020545342,NA,0.0114990414,0.1028096454,NA,0.013308603,0.104619207,NA,4.8,3.4,0.208333333333333,0.00011617375,0.0916666666666667,"ALIVE","o",9.305,0.0018095616,2136,FALSE,2,2,NA,1,2,NA,1,2,NA,2,1,"(0.0182,0.0365]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","(0.0761,0.152]",NA,"(0.147,0.294]","[0,0.000309]"
"9811",2140.201,11,1,354,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,TRUE,TRUE,2010,0.009310673526,NA,NA,0.005568486,NA,NA,0.0035256606,NA,NA,6.2,5.33,0.183333333333333,0.0001468698,0.1775,"ALIVE","i",9.305,0.0030190776,2140,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"(0.147,0.294]","[0,0.000309]"
"9812",2142.201,11,1,356,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0068157012,0.157536427356,NA,0.0046566366,0.1245534444,NA,0.0046566366,0.0886386732,NA,6.9,5.97,0.283333333333333,0.0002314312,0.255833333333333,"ALIVE","i",9.305,0.0037392894,2142,FALSE,1,3,NA,1,2,NA,1,2,NA,2,1,"[0,0.0182]","(0.155,0.232]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","(0.0761,0.152]",NA,"(0.147,0.294]","[0,0.000309]"
"9813",2146.201,11,1,360,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,3,FALSE,NA,NA,TRUE,TRUE,2010,0.014646956016,NA,NA,0.0127305486,NA,NA,0.0144654972,NA,NA,3.3,3.87,0.05,2.3562e-05,0.130833333333333,"ALIVE","o",9.305,0.0008553006,2146,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9814",2147.201,11,1,361,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,3,FALSE,NA,NA,TRUE,TRUE,2010,0.013378535016,NA,NA,0.010606827,NA,NA,0.010606827,NA,NA,5.2,5.95,0.125,8.737575e-05,0.204166666666667,"ALIVE","i",9.305,0.0021237216,2147,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9815",2151.201,11,1,365,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,3,FALSE,NA,NA,TRUE,TRUE,2010,0.013767308016,NA,NA,0.0127305486,NA,NA,0.0127305486,NA,NA,4.7,6.13,0.125,7.755825e-05,0.260833333333333,"ALIVE","i",9.305,0.0017349486,2151,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9816",2152.201,11,1,366,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,3,FALSE,NA,NA,TRUE,TRUE,2010,0.012285258216,NA,NA,0.0095135502,NA,NA,0.0073898286,NA,NA,6.4,6.13,0.191666666666667,0.00015806175,0.2275,"ALIVE","i",9.305,0.0032169984,2152,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"(0.147,0.294]","[0,0.000309]"
"9817",2157.201,11,1,371,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,2,FALSE,NA,NA,TRUE,TRUE,2010,0,0.140530310382,NA,0,0.1220935716,NA,0,0.0756512988,NA,7.4,7.9,0.191666666666667,0.00018816875,0.325,"ALIVE","i",9.305,0.0043008504,2157,FALSE,1,2,NA,1,2,NA,1,1,NA,2,1,"[0,0.0182]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","[0,0.0761]",NA,"(0.147,0.294]","[0,0.000309]"
"9818",2162.201,11,1,376,"ABBA",NA,1025,"M","E",100,"H","BSLP",2,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0087446436,0.115331065542,NA,0,0.091310604,NA,0,0,NA,12.1,10.56,0.425,0.00063754845,0.43,"ALIVE","i",9.305,0.0114990414,2162,FALSE,1,2,NA,1,2,NA,1,1,NA,3,3,"[0,0.0182]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","[0,0.0761]",NA,"(0.294,0.442]","(0.000619,0.000928]"
"9819",2164.201,11,1,378,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,FALSE,TRUE,2010,0.011983389726,NA,NA,0.0085875636,NA,NA,0.011669229726,NA,NA,2.1,2.61,-0.075,-3.004155e-05,0.0675,"ALIVE","o",9.305,0.0003463614,2164,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,NA,NA
"9820",2166.201,11,1,380,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,TRUE,TRUE,2010,0.011798820726,NA,NA,0.0085875636,NA,NA,0.011138299326,NA,NA,2.6,3.4,0.0416666666666667,1.538075e-05,0.108333333333333,"ALIVE","o",9.305,0.0005309304,2166,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9821",2167.201,11,1,381,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,TRUE,FALSE,2010,0.011669229726,NA,NA,0.0085875636,NA,NA,0.010477777926,NA,NA,2.9,2.39,0.025,1.079925e-05,-0.000833333333333316,"ALIVE","o",9.305,0.0006605214,2167,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.147]","[0,0.000309]"
"9822",2174.201,11,1,388,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,2,FALSE,NA,NA,TRUE,TRUE,2010,0.0241793244,NA,NA,0.0241793244,NA,NA,0.0165036102,NA,NA,8,6.5,0.233333333333333,0.0002419032,0.2,"ALIVE","i",9.305,0.00502656,2174,FALSE,2,NA,NA,2,NA,NA,1,NA,NA,2,1,"(0.0182,0.0365]",NA,NA,"(0.0182,0.0365]",NA,NA,"[0,0.0182]",NA,NA,"(0.147,0.294]","[0,0.000309]"
"9823",2176.201,11,1,390,"ABBA",NA,1025,"M","E",100,"H","BSLP",1,4,FALSE,NA,NA,TRUE,TRUE,2010,0.010286925726,NA,NA,0.0065447382,NA,NA,0.0065447382,NA,NA,5.1,5.03,0.166666666666667,0.000107338,0.185833333333333,"ALIVE","i",9.305,0.0020428254,2176,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"[0,0.0182]",NA,NA,"(0.147,0.294]","[0,0.000309]"
"9824",2185.201,11,1,410,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0114173598,0.1892154264,0.416229421608,0.0052810296,0.1648970862,0.3523979844,0.0052810296,0.1609700862,0.346428159,5.2,4.86,0.141666666666667,9.680055e-05,0.155,"ALIVE","o",9.305,0.0021237216,2185,FALSE,1,3,3,1,3,3,1,3,3,1,1,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.152,0.228]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9825",2187.201,11,1,413,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0189140028,0.0970864356,0.464336978028,0.0189140028,0.0807713214,0.4084292058,0,0,0.1866950778,11.3,9.5,0.441666666666667,0.00060011105,0.366666666666667,"ALIVE","i",9.305,0.0100287726,2187,FALSE,2,2,3,2,2,3,1,1,2,3,2,"(0.0182,0.0365]","(0.0774,0.155]","(0.356,0.533]","(0.0182,0.0365]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","[0,0.0761]","(0.162,0.324]","(0.294,0.442]","(0.000309,0.000619]"
"9826",2190.201,11,1,419,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0088428186,0.1119815466,0.438746965272,0.0048482742,0.0883386504,0.3813164124,0,0.0704990748,0.321585957,6.4,7.02,0.241666666666667,0.00018790695,0.318333333333333,"ALIVE","i",9.305,0.0032169984,2190,FALSE,1,2,3,1,2,3,1,1,2,2,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","[0,0.0761]","(0.162,0.324]","(0.147,0.294]","[0,0.000309]"
"9827",2192.201,11,1,421,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0094177314,0.1125564594,0.439321878072,0.005423187,0.0889135632,0.3818913252,0.0032169984,0.0796576242,0.3597029898,5.8,5.82,0.191666666666667,0.00013999755,0.235,"ALIVE","i",9.305,0.0026420856,2192,FALSE,1,2,3,1,2,3,1,2,3,2,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","(0.147,0.294]","[0,0.000309]"
"9828",2194.201,11,1,423,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0232682604,0.1014406932,0.468691235628,0.0232682604,0.085125579,0.4127834634,0.017726478,0.0309439746,0.2667477582,8.5,6.86,0.325,0.00033438405,0.238333333333333,"ALIVE","i",9.305,0.005674515,2194,FALSE,2,2,3,2,2,3,1,1,2,3,2,"(0.0182,0.0365]","(0.0774,0.155]","(0.356,0.533]","(0.0182,0.0365]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","[0,0.0761]","(0.162,0.324]","(0.294,0.442]","(0.000309,0.000619]"
"9829",2196.201,11,1,425,"ABBA",NA,1025,"M","E",100,"H","BSLP",5,5,FALSE,NA,NA,TRUE,TRUE,2010,0.0108479448,0.147053677848,0.476548392936,0.006538455,0.1193580234,0.4175806866,0.0097334622,0.145341655074,0.468602454012,2.9,3.5,0.0583333333333333,2.336565e-05,0.0833333333333333,"ALIVE","",9.305,0.0006605214,2196,FALSE,1,2,3,1,2,3,1,2,3,1,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9830",2197.201,11,1,426,"ABBA",NA,1025,"M","E",100,"H","BSLP",5,5,FALSE,NA,NA,TRUE,TRUE,2010,0.0107042166,0.146909949648,0.476404664736,0.006538455,0.1193580234,0.4175806866,0.0089292126,0.142495766028,0.465025946616,3.2,3.63,0.0583333333333333,2.611455e-05,0.0941666666666667,"ALIVE","",9.305,0.0008042496,2197,FALSE,1,2,3,1,2,3,1,2,3,1,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9831",2198.201,11,1,427,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0098536284,0.1129923564,0.439757775072,0.005859084,0.0893494602,0.3823272222,0.005859084,0.0872257386,0.3721099536,5.3,4.78,0.158333333333333,0.00010818885,0.14,"ALIVE","i",9.305,0.0022061886,2198,FALSE,1,2,3,1,2,3,1,2,3,2,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","(0.147,0.294]","[0,0.000309]"
"9832",2201.201,11,1,430,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,2,FALSE,NA,NA,TRUE,TRUE,2010,0.007555548,0.13064913015,NA,0.007555548,0.1152189654,NA,0.007555548,0.1130127768,NA,5.6,6.2,0.216666666666667,0.0001463462,0.291666666666667,"ALIVE","i",9.305,0.0024630144,2201,FALSE,1,2,NA,1,2,NA,1,2,NA,2,1,"[0,0.0182]","(0.0774,0.155]",NA,"[0,0.0182]","(0.0772,0.154]",NA,"[0,0.0182]","(0.0761,0.152]",NA,"(0.147,0.294]","[0,0.000309]"
"9833",2202.201,11,1,431,"ABBA",NA,1025,"M","E",100,"H","BSLP",3,3,FALSE,NA,NA,TRUE,TRUE,2010,0.0106743714,0.1138130994,0.440578518072,0.0080652726,0.0915556488,0.3845334108,0.0080652726,0.1067539242,0.4113838806,4.2,4.56,0.0833333333333333,4.8433e-05,0.113333333333333,"ALIVE","o",9.305,0.0013854456,2202,FALSE,1,2,3,1,2,3,1,2,3,1,1,"[0,0.0182]","(0.0774,0.155]","(0.356,0.533]","[0,0.0182]","(0.0772,0.154]","(0.324,0.486]","[0,0.0182]","(0.0761,0.152]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9834",2204.201,11,1,433,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0117315198,0.1895295864,0.416543581608,0.0074047512,0.1670208078,0.354521706,0.0092143128,0.1688303694,0.3637218816,4.8,4.21,0.141666666666667,8.789935e-05,0.150833333333333,"ALIVE","o",9.305,0.0018095616,2204,FALSE,1,3,3,1,3,3,1,3,3,1,1,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.152,0.228]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
"9835",2205.201,11,1,434,"ABBA",NA,1025,"M","E",100,"H","BSLP",4,4,FALSE,NA,NA,TRUE,TRUE,2010,0.0126857808,0.1904838474,0.417497842608,0.0074047512,0.1670208078,0.354521706,0.0126857808,0.1858751202,0.405741512022,3.3,4.54,0.0833333333333333,3.6652e-05,0.153333333333333,"ALIVE","o",9.305,0.0008553006,2205,FALSE,1,3,3,1,3,3,1,3,3,1,1,"[0,0.0182]","(0.155,0.232]","(0.356,0.533]","[0,0.0182]","(0.154,0.232]","(0.324,0.486]","[0,0.0182]","(0.152,0.228]","(0.324,0.486]","[0,0.147]","[0,0.000309]"
