"pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","time","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","priordbh","priorba","priorht","id","mort"
4,4,955,"ABBA","1986",808,"L","E",145,"S","FSLP",10,4,FALSE,1986,20.8,14.2,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0339795456,NA,NA,NA,275,TRUE
4,4,985,"ABBA","1986",808,"L","E",145,"S","FSLP",10,1,FALSE,1986,14,11.2,NA,NA,NA,"DEAD",NA,15.1627603094615,0.01539384,NA,NA,NA,276,TRUE
5,1,735,"ABBA","1988",840,"L","E",180,"S","FSLP",5,2,FALSE,1986,12.6,7.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0124690104,NA,NA,NA,301,TRUE
5,1,736,"ABBA","1986",840,"L","E",180,"S","FSLP",1,3,FALSE,1986,9.5,6.71,NA,NA,NA,"DEAD",NA,15.261481190625,0.007088235,NA,NA,NA,302,TRUE
5,1,737,"ABBA","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,15.7,8.62,NA,NA,NA,"DEAD",NA,15.261481190625,0.0193593246,NA,NA,NA,303,TRUE
5,1,738,"ABBA",NA,840,"L","E",180,"S","FSLP",2,4,FALSE,1986,8.9,7.97,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0062211534,NA,NA,NA,304,FALSE
5,1,739,"ABBA","1986",840,"L","E",180,"S","FSLP",2,3,FALSE,1986,11.4,6.15,NA,NA,NA,"DEAD",NA,15.261481190625,0.0102070584,NA,NA,NA,305,TRUE
5,1,740,"ABBA","1986",840,"L","E",180,"S","FSLP",1,3,FALSE,1986,11.7,8.21,NA,NA,NA,"DEAD",NA,15.261481190625,0.0107513406,NA,NA,NA,306,TRUE
5,1,741,"BECO",NA,840,"L","E",180,"S","FSLP",3,4,FALSE,1986,10.4,10.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0084948864,NA,NA,NA,307,FALSE
5,1,742,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,1986,10.7,8.43,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0089920446,NA,NA,NA,308,FALSE
5,1,744,"BECO","1998",840,"L","E",180,"S","FSLP",1,4,FALSE,1986,9,8.73,NA,NA,NA,"ALIVE",NA,15.261481190625,0.00636174,NA,NA,NA,309,TRUE
5,1,745,"ABBA","1986",840,"L","E",180,"S","FSLP",1,4,FALSE,1986,13.5,6.79,NA,NA,NA,"DEAD",NA,15.261481190625,0.014313915,NA,NA,NA,310,TRUE
5,1,747,"PIRU",NA,840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,10,NA,NA,NA,NA,"ALIVE",NA,15.261481190625,0.007854,NA,NA,NA,311,FALSE
5,1,767,"BECO","1998",840,"L","E",180,"S","FSLP",5,4,FALSE,1986,7.8,9.49,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0047783736,NA,NA,NA,312,TRUE
5,1,774,"BECO",NA,840,"L","E",180,"S","FSLP",2,3,FALSE,1986,36,14.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.10178784,NA,NA,NA,313,FALSE
5,1,775,"ABBA","1986",840,"L","E",180,"S","FSLP",3,1,FALSE,1986,13.7,9.95,NA,NA,NA,"DEAD",NA,15.261481190625,0.0147411726,NA,NA,NA,314,TRUE
