"install","plot","time","pplot","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
14,7,82,"14.7",1980,1980,41.576924004,37.305855972,597.33931812,514.65273522
14,7,85,"14.7",1920,1980,46.436319468,41.576924004,708.2735371,597.33931812
14,7,91,"14.7",1780,1920,52.654849632,46.436319468,871.80253832,708.2735371
14,7,97,"14.7",1560,1780,61.638568992,52.654849632,1123.15461074,871.80253832
16,2,73,"16.2",2080,NA,20.582443728,NA,217.37643978,NA
16,2,76,"16.2",2080,2080,26.368501236,20.582443728,308.35263388,217.37643978
16,2,79,"16.2",2080,2080,31.711106196,26.368501236,402.54174772,308.35263388
16,2,82,"16.2",2060,2080,36.596765436,31.711106196,494.46229344,402.54174772
16,2,85,"16.2",1980,2060,39.190706016,36.596765436,559.99503936,494.46229344
16,2,91,"16.2",1820,1980,45.198560484,39.190706016,714.4367707,559.99503936
16,2,97,"16.2",1560,1820,52.491879132,45.198560484,926.54769934,714.4367707
16,6,73,"16.6",2300,NA,20.458240572,NA,227.73057516,NA
16,6,76,"16.6",2260,2300,26.1981951,20.458240572,325.08206152,227.73057516
16,6,79,"16.6",2200,2260,31.49422584,26.1981951,426.60282018,325.08206152
16,6,82,"16.6",2140,2200,36.108466548,31.49422584,522.96274366,426.60282018
16,6,85,"16.6",2100,2140,39.933600168,36.108466548,612.9984009,522.96274366
16,6,91,"16.6",1680,2100,43.914651396,39.933600168,770.8132669,612.9984009
16,6,97,"16.6",1080,1680,49.661894436,43.914651396,968.4801846,770.8132669
19,1,73,"19.1",1357.14285714286,NA,48.68549862,NA,1245.75219228571,NA
19,1,76,"19.1",1285.71428571429,1357.14285714286,51.140199,48.68549862,1375.33362931429,1245.75219228571
19,1,79,"19.1",1228.57142857143,1285.71428571429,53.81506944,51.140199,1499.61235034286,1375.33362931429
19,1,82,"19.1",1157.14285714286,1228.57142857143,57.03949548,53.81506944,1678.86706861429,1499.61235034286
19,1,85,"19.1",1014.28571428571,1157.14285714286,57.24297018,57.03949548,1774.88284604286,1678.86706861429
19,1,91,"19.1",928.571428571428,1014.28571428571,61.78912344,57.24297018,2074.75523308571,1774.88284604286
19,1,97,"19.1",471.428571428571,928.571428571428,66.43891584,61.78912344,2385.96021282857,2074.75523308571
19,5,73,"19.5",1571.42857142857,NA,39.20807682,NA,769.291192271428,NA
19,5,76,"19.5",1528.57142857143,1571.42857142857,42.03367674,39.20807682,863.260665542857,769.291192271428
19,5,79,"19.5",1442.85714285714,1528.57142857143,44.01978504,42.03367674,936.497152928571,863.260665542857
19,5,82,"19.5",1371.42857142857,1442.85714285714,45.7303077,44.01978504,1000.84551092857,936.497152928571
19,5,85,"19.5",1257.14285714286,1371.42857142857,46.55107314,45.7303077,1050.7749442,1000.84551092857
19,5,91,"19.5",1071.42857142857,1257.14285714286,48.21167802,46.55107314,1178.27206487143,1050.7749442
19,5,97,"19.5",385.714285714286,1071.42857142857,51.10986012,48.21167802,1349.36327907143,1178.27206487143
22,10,73,"22.1",1220,NA,32.577732264,NA,621.32381432,NA
22,10,76,"22.1",1200,1220,34.973736336,32.577732264,691.70045196,621.32381432
22,10,79,"22.1",1080,1200,36.251660676,34.973736336,753.39165202,691.70045196
22,10,82,"22.1",1040,1080,37.244233488,36.251660676,790.38036464,753.39165202
22,10,85,"22.1",960,1040,37.70571882,37.244233488,830.75539176,790.38036464
22,10,91,"22.1",880,960,39.487665756,37.70571882,922.44357802,830.75539176
22,10,97,"22.1",560,880,43.550806992,39.487665756,1063.51020308,922.44357802
22,13,73,"22.13",1240,NA,51.377113788,NA,1106.54379964,NA
22,13,76,"22.13",1180,1240,53.840002524,51.377113788,1202.76240304,1106.54379964
22,13,79,"22.13",1180,1180,57.785160972,53.840002524,1333.08185304,1202.76240304
22,13,82,"22.13",1120,1180,59.584166796,57.785160972,1411.96859728,1333.08185304
22,13,85,"22.13",1100,1120,62.53975266,59.584166796,1522.37146574,1411.96859728
22,13,91,"22.13",980,1100,66.168567696,62.53975266,1726.08343182,1522.37146574
22,13,97,"22.13",680,980,69.420296484,66.168567696,1912.50897932,1726.08343182
38,15,73,"38.15",610,NA,43.083721758,NA,1419.86332427,NA
38,15,76,"38.15",610,610,46.027887906,43.083721758,1545.74286443,1419.86332427
38,15,79,"38.15",540,610,45.48691224,46.027887906,1579.91053975,1545.74286443
38,15,82,"38.15",540,540,48.0865077,45.48691224,1689.10861906,1579.91053975
38,15,85,"38.15",530,540,50.113295232,48.0865077,1794.67290692,1689.10861906
38,15,91,"38.15",470,530,50.945238036,50.113295232,1919.21727216,1794.67290692
38,15,97,"38.15",300,470,50.315802768,50.945238036,2001.78624007,1919.21727216
38,16,73,"38.16",780,NA,42.306309276,NA,1382.40743013,NA
38,16,76,"38.16",770,780,45.041017098,42.306309276,1510.87756789,1382.40743013
38,16,79,"38.16",770,770,47.158015674,45.041017098,1609.47466193,1510.87756789
38,16,82,"38.16",740,770,48.22571985,47.158015674,1667.01248606,1609.47466193
38,16,85,"38.16",700,740,48.536157054,48.22571985,1727.17015615,1667.01248606
38,16,91,"38.16",670,700,50.602630848,48.536157054,1877.919874,1727.17015615
38,16,97,"38.16",300,670,54.754765758,50.602630848,2084.57829452,1877.919874
40,1,73,"40.1",214.285714285714,NA,23.63399874,NA,747.428123314286,NA
40,1,76,"40.1",214.285714285714,214.285714285714,25.08076164,23.63399874,827.141894457143,747.428123314286
40,1,79,"40.1",185.714285714286,214.285714285714,24.8034369,25.08076164,847.9652289,827.141894457143
40,1,82,"40.1",157.142857142857,185.714285714286,24.03639282,24.8034369,840.977932614286,847.9652289
40,1,85,"40.1",157.142857142857,157.142857142857,25.26243588,24.03639282,895.008079157143,840.977932614286
