"aspect","elev","install","plot","spec","tag","time","id","rgr","method","corr","degree","sdp","si","hazPeriod","lambda"
0,180,1,10,"FD",134,7,53,1.19535578653229,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",137,7,56,0,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",138,7,57,0.733592535283547,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",142,7,61,0,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",143,7,62,1.09049983186852,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",144,7,63,0.798930033965125,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",146,7,65,0,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",147,7,66,3.29126847108656,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",149,7,68,0.360439887963291,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",150,7,69,0.892263421856542,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",153,7,72,0.934674693242259,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",155,7,74,1.44978356173524,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",156,7,75,0,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",161,7,80,0.922152661547781,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",162,7,81,0.929492941285907,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",168,7,87,1.08717096841753,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",170,7,89,1.78963041390876,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",173,7,92,1.19712877645406,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",176,7,95,1.27232867302471,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",177,7,96,0.969601458667741,"bs",0.792138849059259,2,2,2,3,Inf
315,180,1,16,"FD",102,5,106,0.0957206133363473,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",103,5,107,0,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",104,5,108,0.777602725764165,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",105,5,109,1.18015364722513,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",107,5,111,1.3314515976863,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",109,5,113,1.4692628493612,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",110,5,114,1.88519489045768,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",111,5,115,0.164393845304283,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",115,5,119,1.09797592890437,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",119,5,123,1.00854449043815,"bs",0.0522172097682969,2,2,3,1,Inf
