"PLOT","SPLOT","TAG","SPECIES","CLASS","YRTAG","STAT86","STAT87","STAT88","STAT89","STAT98","STAT10","DBH86","HT86","DBH87","HT87","CPOS87","CPOS88","DBH98","HT98","CPOS98","DBH10","HT10","CPOS10","ELEV","ASPCL","CANHT86","CANDBH86","CANHT87","CANDBH87","CANHT98","CANDBH98","CANHT10","CANDBH10","HTPRED86","HTPRED87","HTPRED98","HTPRED10"
4,1,98355,"ABBA","P",1998,"","","","","ALIVE","DEAD",NA,NA,NA,NA,"","",0.5,1.8,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98356,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",4.6,6.1,"i",6.3,4.81,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98364,"BECO","P",1998,"","","","","ALIVE","DEAD",NA,NA,NA,NA,"","",4.6,6.2,"o",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98367,"BECO","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",3.6,5.4,"o",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98379,"ABBA","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",0,1.3,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98381,"ABBA","P",1998,"","","","","ALIVE","DEAD",NA,NA,NA,NA,"","",0.5,1.5,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98385,"ABBA","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",0,1.2,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98388,"ABBA","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",1.2,1.9,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98389,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.4,"",3.4,1.61,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98508,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0,1.1,"o",0,1.33,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98522,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.2,"",1.2,1.76,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98544,"ABBA","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",0.5,1.4,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98802,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.7,"",3.9,3.25,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98803,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",5.2,5.9,"o",7.6,6.46,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98804,"ACSP","P",1998,"","","","","ALIVE","DEAD",NA,NA,NA,NA,"","",5.8,7.2,"i",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98805,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",4.6,6.4,"i",8.9,8.54,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98809,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",1,1.9,"",1.7,1.88,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98811,"ABBA","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",1.5,1.8,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98814,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",5.4,6.7,"i",6.4,6.57,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98816,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0,1.1,"",0,1.37,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98819,"ACSP","P",1998,"","","","","ALIVE","DEAD",NA,NA,NA,NA,"","",3.9,5.8,"i",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98820,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.4,"",0,1.3,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98824,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",5.5,6.8,"i",6.9,6.63,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98826,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",5.9,6.2,"i",8.3,8.54,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98828,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.3,"",0.4,1.45,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98829,"ACSP","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",2.3,6.6,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98831,"ACSP","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",3.7,4.9,"o",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98837,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.5,"",0.78,1.53,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98838,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",4.3,5.7,"o",5.2,4.7,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98839,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",5.4,5.7,"o",6.5,4.33,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98840,"ACSP","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",2,2.2,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98841,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0,1.1,"",0,1.32,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98843,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",4.2,6,"i",7.5,8.54,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98845,"ACSP","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",4,6.2,"i",4.9,6.3,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98847,"ABBA","P",1998,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0,1.3,"",4.3,3.28,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,98890,"ACSP","P",1998,"","","","","ALIVE","NF",NA,NA,NA,NA,"","",1.7,1.4,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,17,"SOAM","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",2.2,4.6,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,137,"PIRU","A",2010,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",NA,NA,"",3.3,3.36191019030504,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,1
4,2,201,"SOAM","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",0,0.9,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,202,"ABBA","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",0,1.3,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,203,"ABBA","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",1,1.7,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,204,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.5,"",1.1,1.63,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,205,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",2.9,2.7,"",3.7,3.44,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,206,"ABBA","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",1,1.7,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,207,"ABBA","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",2.1,2.2,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,208,"BEAL","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",3.4,5,"",4.7,7.5,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,209,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",4.3,2.3,"",4.8,4.24,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,210,"PIRU","P",1988,"","","ALIVE","ALIVE","ALIVE","ALIVE",NA,NA,NA,NA,"","",2.5,2.4,"",5.1,4.21,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,2,211,"BEAL","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
