"model","alpha","beta","C","D","PG","sd","sizeX0","sizeXb","mspec","msr","b","mdep.var","mind.var"
"slnm",0.405715379848976,1.78715138063204,0.054330636016427,0.737493574385256,0.184887843553478,0.106160632226471,154.90614759507,101.561989915833,"FD","4",NA,"dbhgrowth","priordbh"
"slnm",1.10284539825548,0.176260773178912,0.00831435648198602,0.902636149413654,0.284405316821759,0.106547606729108,3.97923411804087,3.36047543507694,"FD","2",NA,"dbhgrowth","priordbh"
"sldnm",NA,NA,0.211336155922057,0.594845669738664,0.321689274110999,0.108987596066195,2.68831700292612,2.85259161104975,"FD","2",NA,"dbhgrowth","priordbh"
"spnm",-4.16121371723339,-0.227978203598035,1.36649451274479,0.00224574475547711,0.111901760917391,0.1347328591874,0.380247469896375,2.97464226508933,"FD","2",0.182835173063097,"dbhgrowth","priordbh"
"spenm",-0.0560320552355018,0.148662536733439,0.246245759918437,0.561937931950394,0.459634897943346,0.109301428144318,NA,NA,"FD","2",-0.20204308467318,"dbhgrowth","priordbh"
"slenm",0.09108243827048,2.78319847036116,1.02348091853861,0.557516179484635,2.5430250993934,0.002,0.252746554760099,1,"FD","3",0.282248246379586,"bagrowth","priorba"
"slenm",1,1,1.1,1,1,1,1,1,"FD","4",1,"bagrowth","priorba"
"spenm",-0.281446941534155,-1.00821641084361e-09,0.285598464915337,0.344256562611234,0.128313054693427,0.112557321659353,NA,NA,"FD","4",0.179709170360146,"bagrowth","priorba"
"spenm",-0.206757690792702,-2.68466663146147e-08,0.211420309975495,0.497637803288749,0.441869735591044,0.109786557048849,NA,NA,"FD","3",-0.140843592618516,"bagrowth","priorba"
"sldnm",NA,NA,2.47973069201325e-05,1.89538309084557,0.00154800242771524,0.000178568930093813,0.41091052033478,1.99874649039395,"FD","2",NA,"bagrowth","priorba"
"spnm",-4.28572599315627,0.417333347678962,NA,0.0346710709703052,-0.631004902792352,0.000833124612285855,NA,NA,"FD","2",2.11677319214206,"bagrowth","priorba"
"spenm",2.81787432900148,0.58663192810713,-1.52657305027285,2.42430342396031,1.77333294889034,0.000387799036603859,NA,NA,"FD","2",2.72057238953404,"bagrowth","priorba"
"slenm",2.81472316111921,3.19041095542795,0.674523052211694,0.929694260350101,0.138825131821122,0.000602138060006855,3.34465940477012,-0.808153559699005,"FD","2",5.67804922711643,"bagrowth","priorba"
"slnm",0.47622758403716,0.298886465744061,0.459545070281123,0.869274348400239,0.00312872985991853,0.000225172940724072,12.5559166483029,3.61169660064038,"FD","2",NA,"bagrowth","priorba"
"slnm",3.68496777986413,-2.31584863184158e-07,4.85817490740704,0.393264278331312,0.00865916290594813,0.000616950701220084,2.06989718442747,2.07962171203989,"FD","4",NA,"bagrowth","priorba"
"sldnm",NA,NA,1.15665402633633,0.601810462750482,-6.69328525170388,0.00133328576663825,4.12003741632097,0.463002796769866,"FD","4",NA,"bagrowth","priorba"
"spnm",-2.98342953700418,-0.33412995606562,NA,0.0149975307703191,-0.697366280207614,0.00182121629486213,NA,NA,"FD","4",2.70526571012722,"bagrowth","priorba"
"spm",NA,NA,NA,NA,0.0156661829408368,0.000634283156393185,NA,NA,"FD","4",0.778827717568509,"bagrowth","priorba"
"simple",1.38793807811665,1.07344410863034,0.26700370850941,0.82617918518953,0.00138215064406258,0.000976561592711003,NA,NA,"FD","4",NA,"bagrowth","rgr"
"simpler",0.744252998613649,-1.03416901207139,NA,NA,0.000212075094884949,0.00626758572440636,NA,NA,"FD","4",NA,"bagrowth","rgr"
