"pplot","splot","tag","spec","yrmort","stat86","stat87","stat98","stat10","dbh86","decm86","dbh87","cpos87","decm87","dbh98","decm98","cpos98","dbh10","decm10","cpos10","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","bv86","bv87","bv98","bv10","ht86","ht87","ht98","ht10","ba86","ba87","ba98","ba10","dbhgrowth98","dbhgrowth10","htgrowth98","htgrowth10","priordbh86","priordbh87","priordbh98","priordbh10","priorba86","priorba87","priorba98","priorba10","priorbv86","priorbv87","priorbv98","priorbv10","priorht86","priorht87","priorht98","priorht10","bvgrowth98","bvgrowth10"
1,1,329,"ABBA",NA,"ALIVE","","","",5.6,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0024630144,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,0.0024630144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,345,"ABBA",NA,"ALIVE","","","",9.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,5,NA,NA,NA,NA,NA,NA,NA,NA,0.0065038974,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,0.0065038974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,349,"ABBA",NA,"ALIVE","","","",12.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,5,NA,NA,NA,NA,NA,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,365,"SOAM",NA,"ALIVE","","","",18,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",4,4,NA,NA,NA,NA,NA,NA,NA,NA,0.02544696,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,0.02544696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,387,"BECO",NA,"ALIVE","","","",8.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0060821376,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,0.0060821376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,395,"ABBA",NA,"ALIVE","","","",9,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,5,NA,NA,NA,NA,NA,NA,NA,NA,0.00636174,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,0.00636174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,398,"BECO",NA,"ALIVE","","","",12.3,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,5,NA,NA,NA,NA,NA,NA,NA,NA,0.0118823166,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,0.0118823166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,127,"BECO",NA,"ALIVE","","","",12.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,0.0114990414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,128,"BECO",NA,"ALIVE","","","",11.2,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0098520576,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,0.0098520576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,131,"BECO",NA,"ALIVE","","","",17.9,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0251650014,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,0.0251650014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,135,"BECO",NA,"ALIVE","","","",13.3,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",4,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0138929406,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,0.0138929406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
