"pplot","time","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
40.1,82,128.571428571429,157.142857142857,1.6825474974,1.616761608,58.868455283,56.098656327
40.1,85,128.571428571429,128.571428571429,1.7683705116,1.6825474974,62.650565541,58.868455283
40.1,91,114.285714285714,128.571428571429,1.8557533302,1.7085418812,71.172386061,61.031439689
40.1,97,114.285714285714,114.285714285714,1.982577366,1.8557533302,77.689173076,71.172386061
40.29,73,557.142857142857,NA,3.0182670672,NA,93.161688522,NA
40.29,76,357.142857142857,557.142857142857,2.864208501,2.6938269666,93.895937004,85.85733982
40.29,79,314.285714285714,357.142857142857,2.9041154604,2.7570532374,97.535648938,91.12560624
40.29,82,314.285714285714,314.285714285714,3.0457914102,2.9041154604,104.477724615,97.535648938
40.29,85,314.285714285714,314.285714285714,3.2030355588,3.0457914102,112.32408408,104.477724615
40.29,91,285.714285714286,314.285714285714,3.3466687254,3.1170617478,123.1791713,110.151089864
40.29,97,285.714285714286,285.714285714286,3.5905966866,3.3466687254,140.559481445,123.1791713
51.1,73,1200,NA,1.706689908,NA,32.541290582,NA
51.1,76,1100,1200,1.9620635034,1.6907902704,40.120430163,32.345618885
51.1,79,980,1100,2.0812526658,1.865827656,44.934849642,38.398694744
51.1,82,880,980,2.2677081966,2.046442167,51.042689473,44.465756107
51.1,85,860,880,2.467891734,2.2598541966,57.952600727,50.953262511
51.1,91,820,860,2.8530998034,2.4234318108,72.536316627,57.191013001
51.1,97,800,820,3.1270394694,2.7619604166,83.970231876,70.649543249
51.3,73,880,NA,1.2066759936,NA,22.32852468,NA
51.3,76,680,880,1.3071506448,1.1201665398,26.592584273,21.093833745
51.3,79,560,680,1.3456156098,1.1878986504,29.570356388,24.665467632
51.3,82,500,560,1.4645636544,1.2826972158,34.102725702,28.367183798
51.3,85,500,500,1.623728106,1.4645636544,39.947599709,34.102725702
51.3,91,440,500,1.9720671432,1.5984861354,55.404184249,39.628780356
51.3,97,460,440,2.3071054314,1.9797648486,67.573529644,55.49863933
52.4,73,1700,NA,1.6280352396,NA,23.894588911,NA
52.4,76,1660,1700,1.902450858,1.6165856784,30.19329049,23.79167292
52.4,79,1520,1660,2.0654040792,1.8651317916,35.114025387,29.866784158
52.4,82,1400,1520,2.1920977386,2.022746649,38.278071173,34.698006578
52.4,85,1260,1400,2.2287397902,2.1331464,40.641009883,37.668368063
52.4,91,1140,1260,2.4618802824,2.1438600414,50.042720818,39.526285786
52.4,97,1080,1140,2.6346431496,2.4158974686,55.747693378,49.434112134
52.5,73,1880,NA,1.3639209276,NA,17.985430993,NA
52.5,76,1880,1880,1.5925775712,1.3639209276,22.597560124,17.985430993
52.5,79,1800,1880,1.75937454,1.580668551,26.553262378,22.52218923
52.5,82,1740,1800,1.8851775558,1.7458900074,29.502425884,26.443631305
52.5,85,1600,1740,1.925313852,1.8511296804,31.519148724,29.224189164
52.5,91,1460,1600,2.104455738,1.8621299928,37.42357321,30.814297703
52.5,97,1320,1460,2.165780249094,2.0077957746,40.940998103,36.129450078
53.2,73,2140,NA,2.1132632136,NA,32.803650503,NA
53.2,76,1960,2140,2.4082036902,2.0633746056,40.23661642,32.320383015
53.2,79,1820,1960,2.649766812,2.380920465,46.627891549,40.048240616
53.2,82,1760,1820,2.8259917224,2.6316193596,50.570988473,46.444384481
53.2,85,1720,1760,2.9544603858,2.7993431004,54.299866002,50.216472946
53.2,91,1580,1720,3.303368838,2.8709330958,65.622654931,53.283453017
53.2,97,1480,1580,3.5086111368,3.1911422466,73.465441068,63.917376221
53.4,73,2580,NA,1.7950976736,NA,24.663134191,NA
53.4,76,2460,2580,2.0699829612,1.7752521864,30.87166885,24.537779568
53.4,79,2160,2460,2.2585598574,2.0109279498,36.108954427,30.435684485
53.4,82,1960,2160,2.3923770948,2.2117083912,39.615086246,35.746811841
53.4,85,1820,1960,2.4602050242,2.3367550668,42.437304598,39.043763887
53.4,91,1560,1820,2.664418449,2.3222063172,50.521604201,40.748764398
53.4,97,1400,1560,2.7757276932,2.549274882,55.633257729,48.939148357
54.1,73,2680,NA,1.3989646902,NA,15.54935596,NA
54.1,76,2600,2680,1.6050724998,1.3857534768,19.253087524,15.465156847
54.1,79,2540,2600,1.7677539726,1.597723512,22.43314686,19.210119662
54.1,82,2360,2540,1.8550056294,1.73549838,24.487971139,22.219044907
54.1,85,2300,2360,1.9501372044,1.840789104,26.76701536,24.387990743
54.1,91,2160,2300,2.1451213938,1.89489531,31.919881839,26.246884839
54.1,97,1880,2160,2.24227164315,2.0162231166,36.242143376,30.690389035
54.4,73,2540,NA,0.8892958536,NA,8.021080715,NA
54.4,76,2460,2540,1.0362002112,0.8762048064,10.244265472,7.939262783
54.4,79,2420,2460,1.1554278582,1.031351937,12.277616836,10.217505627
54.4,82,2400,2420,1.2567680202,1.1505261768,13.952125495,12.241528568
54.4,85,2300,2400,1.341557448,1.2392999388,15.685452817,13.838549798
54.4,91,2020,2300,1.4288570142,1.2756804522,18.312044051,15.208630438
54.4,97,1600,2020,1.4780615388,1.307357205,21.131454448,17.330154392
65.5,73,2860,NA,2.037001659,NA,28.162080985,NA
65.5,76,2620,2860,2.2872308844,2.0032200342,34.182304731,27.962793873
65.5,79,2320,2620,2.4762515316,2.2242308088,39.378676664,33.694887426
65.5,82,2160,2320,2.6541697644,2.4376946748,44.266328988,39.06516593
65.5,85,1920,2160,2.7781585062,2.59048482,48.519647639,43.72740766
